# 只允许单行注释，可以空行,小写
# 规范化语言代码,逗号分隔的列表,列表中可以包括语言名，国家区域名,语言代码别称等,不需要重复
zh,chinese,china,cn,zho,zh-cn,zh-tw
lo,lao,laos,la
en,english,us,gb,ca,uk,en-us,en-gb,en-ca
ar,arabic,ara,arb
bg,bulgarian,bul
br,breton,bre
cs,czech,cze,cz,ces
da,danish,da-dk,dan
de,german,deutsch,ger,deu
es,spanish,espanol,spa,esp
fr,french,francais,fra,fre,fran
ja,japanese,ja-jp,jpn,jp
vi,vietnamese,vi-vn,vie,vn
ko,korean,kor,kr,ko-kr
ms,malay,msa,may,my
it,italian,ita,italiano
pt,portuguese,por
nl,nld
ru,rus
pl,pol
sv,swe
ro,ron
el,ell
hu,hun
fi,fin
bg,bul
tr,tur
sk,slk
no,nor
sl,slv
hr,hrv
et,est
sr,srp
id,ind
lt,lit
sq,sqi
bs,bos
he,heb
lv,lav
bn,ben
uk,ukr
tl,tgl
hi,hin
fa,fas
ml,mal
ta,tam
ca,cat
te,tel
af,afr
be,bel
gu,guj
mr,mar
kn,kan
is,isl
kk,kaz
ur,urd
mt,mlt
mk,mkd
si,sin
sw,swa
uz,uzb
gl,glg
xh,xho
ga,gle
lb,ltz
ne,nep
cy,cym
jv,jav
pa,pan
mn,mon
th,tha
hy,hye
or,ori
ht,hat
ka,kat
su,sun
ps,pus
so,som
sd,snd
rw,kin
ha,hau
am,amh
ba,bak
yi,yid
az,aze
my,mya
gd,gla
ig,ibo
tn,tsn
km,khm
mg,mlg
zu,zul
oc,oci
lg,lug
ln,lin
fy,fry
yo,yor
ff,ful
wo,wol
